strain,BOX_NB,SPOT,MORPHOLOGY SUBSTRATE MYCELIUM,MORPHOLOGY AERIAL MYCELIUM/SPORES,"CATEGORY (1 THE FAST SPORULATERS, 2 THE SLOW)",RDP_NCBI_closest_hit,NCBI_taxid,SPECIES,NOTES,DOMAIN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,MEDIUM,SAMPLE,SEQUENCING,NEEDED TO BE SEQUENCED/RESEQUENCED,SCREENED OR NOT (1 or 0),REASON FOR REMOVAL FROM COLLECTION (IF 0),not_screened
AR015,1,16,yellow,white,Category 2,Streptomyces finlayi,67296,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR018,1,17,yellow - grey,grey - dark grey,Category 1,Streptomyces globisporus,1908,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR019,1,18,white - yellow,white,Category 2,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR020,1,19,yellow,grey - dark grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR027,1,20,yellow,dark grey - brown,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR029,1,21,yellow - grey,dark grey,Category 1,Streptomyces globisporus,1908,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR030,1,22,yellow - grey,grey - dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR031,1,24,yellow - orange,white,Category 2,Streptomyces pratensis,1169025,Streptomyces sp.,was only one strain AR031,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,1,1,NA,NA
AR033,1,25,dark grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR034,1,26,orange - red,grey - pink,Category 1,Streptomyces tricolor,68277,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR036,1,27,dark grey,grey - dark grey,Category 1,Streptomyces globisporus,1908,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
