"strain","RDP_NCBI_closest_hit","Phylum","Class","Order","Family","Genus","Medium","Antibiotic","Sample","Cultivar","compartment"
"AR069","Streptomyces argenteolus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR070","Arthrobacter aurescens","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","ARE","Nys","AR","Innovator","Root"
"AR071","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","AR","Innovator","Root"
"AR072","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR073","Ochrobactrum anthropi","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","ARE","Nys","AR","Innovator","Root"
"AR074","Rhodococcus erythropolis","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ARE","Nys","AR","Innovator","Root"
"AR075","Pseudomonas sp.","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","AR","Innovator","Root"
"AR076","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Nys","AR","Innovator","Root"
"AR077","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AR","Innovator","Root"
"AR078","Enterobacter ludwigii","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ARE","Nys","AR","Innovator","Root"
"AR079","Enterobacter ludwigii","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ARE","Nys","AR","Innovator","Root"
"AR080",NA,NA,NA,NA,NA,NA,"ARE","Nys","AR","Innovator","Root"
"AR081","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AR","Innovator","Root"
"AR082","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR082b",NA,NA,NA,NA,NA,NA,"ARE","Nys","AR","Innovator","Root"
"AR083","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AR","Innovator","Root"
"AR083b","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR083c","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR083d","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR084","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AR","Innovator","Root"
"AR085","seq 19","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR086",NA,NA,NA,NA,NA,NA,"ARE","Nys","AR","Innovator","Root"
"AR087","Acinetobacter lwoffii","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","ARE","Nys","AR","Innovator","Root"
"AR088","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","AR","Innovator","Root"
"AR089","Ochrobactrum anthropi","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","ActIA",NA,"AR","Innovator","Root"
"AR090",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AR","Innovator","Root"
"AR091","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR092",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR092b","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR093","Lelliottia amnigena","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,"ActIA",NA,"AR","Innovator","Root"
"AR094","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR095","Sporosarcina sp.","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","ActIA",NA,"AR","Innovator","Root"
"AR096",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AR","Innovator","Root"
"AR097","Advenella sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","ActIA",NA,"AR","Innovator","Root"
"AR098","Enterobacter cloacae","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ActIA",NA,"AR","Innovator","Root"
"AR099","Microbacterium esteraromaticum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AR","Innovator","Root"
"AR100","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AR","Innovator","Root"
"AR101","Streptomyces pratensis strain Kris8","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR102",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AR","Innovator","Root"
"AR103","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AR","Innovator","Root"
"AR104","Chryseobacterium daecheongense","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","ActIA",NA,"AR","Innovator","Root"
"AR105","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AR","Innovator","Root"
"AR106","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AR","Innovator","Root"
"AR107",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AR","Innovator","Root"
"AR108","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR109","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR110","Bacillus drentensis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AR","Innovator","Root"
"AR111","See Seq16","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AR","Innovator","Root"
"AR112","See Seq10","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AR","Innovator","Root"
"AR113","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR114","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ActIA",NA,"AR","Innovator","Root"
"AR115","seq 19","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR116","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ActIA",NA,"AR","Innovator","Root"
"AR117","Stenotrophomonas maltophilia","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ActIA",NA,"AR","Innovator","Root"
"AR118","Diaphorobacter sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","ActIA",NA,"AR","Innovator","Root"
"AR119",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AR","Innovator","Root"
"AR120",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AR","Innovator","Root"
"AR121","Streptomyces pratensis","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR122","Ochrobactrum lupini","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","ActIA",NA,"AR","Innovator","Root"
"AR123","Bacillus aquimaris","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AR","Innovator","Root"
"AR124","seq 19","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR125","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ActIA",NA,"AR","Innovator","Root"
"AR126","Tsukamurella pseudospumae","Actinobacteriota","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella","ActIA",NA,"AR","Innovator","Root"
"AR127",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR128",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AR","Innovator","Root"
"AR129","See seq13","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AR","Innovator","Root"
"AR130",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR131",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR132","Variovorax paradoxus","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,"PDA",NA,"AR","Innovator","Root"
"AR133",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR134",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR135","Ochrobactrum anthropi","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","PDA",NA,"AR","Innovator","Root"
"AR136",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR137",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR138","Tsukamurella pseudospumae","Actinobacteriota","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella","PDA",NA,"AR","Innovator","Root"
"AR139",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR140",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR141",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR142",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR143","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","PDA",NA,"AR","Innovator","Root"
"AR144","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","PDA",NA,"AR","Innovator","Root"
"AR145",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR146",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR147",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR148",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR149","Stenotrophomonas maltophilia","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","PDA",NA,"AR","Innovator","Root"
"AR150","Acidovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","PDA",NA,"AR","Innovator","Root"
"AR151",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR152",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR153",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR154",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR155",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR156",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR157",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR158",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR159",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR160",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR161",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR162",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR163",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR164","Chryseobacterium jejuense","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","PDA",NA,"AR","Innovator","Root"
"AR165",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR166",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR167",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AR","Innovator","Root"
"AR168","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ActIA",NA,"AR","Innovator","Root"
"AR169","Brevibacterium antiquum","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","ActIA",NA,"AR","Innovator","Root"
"AR170","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AR","Innovator","Root"
"AR171",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AR","Innovator","Root"
"AR172",NA,NA,NA,NA,NA,NA,"PDA",NA,"AR","Innovator","Root"
"AR173","Chryseobacterium nakagawai","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","PDA",NA,"AR","Innovator","Root"
"AR174",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR175",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR176","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Ab","AR","Innovator","Root"
"AR177","Phyllobacterium myrsinacearum","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium","ARE","Ab","AR","Innovator","Root"
"AR178","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Ab","AR","Innovator","Root"
"AR179","Phyllobacterium myrsinacearum","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium","ARE","Ab","AR","Innovator","Root"
"AR180",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR181",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR182","Tsukamurella pulmonis","Actinobacteriota","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella","ARE","Ab","AR","Innovator","Root"
"AR183",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR184",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR185","Tsukamurella pulmonis","Actinobacteriota","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella","ARE","Ab","AR","Innovator","Root"
"AR186",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR187",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR188",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR189",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR190","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Ab","AR","Innovator","Root"
"AR191",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR192",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR193",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR194","Tsukamurella pseudospumae","Actinobacteriota","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella","ARE","Ab","AR","Innovator","Root"
"AR195","Pedobacter sp.","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ARE","Ab","AR","Innovator","Root"
"AR196",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR197",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR198",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR199",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR200",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR201","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Ab","AR","Innovator","Root"
"AR202","Ochrobactrum anthropi","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","ARE","Ab","AR","Innovator","Root"
"AR203a",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR203b","Ochrobactrum anthropi","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","ARE","Ab","AR","Innovator","Root"
"AR204",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR205",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR206","Pedobacter sp.","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ARE","Ab","AR","Innovator","Root"
"AR207",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AR208",NA,NA,NA,NA,NA,NA,"ARE","Ab","AR","Innovator","Root"
"AS001","Bacillus subtilis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS002","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS003",NA,NA,NA,NA,NA,NA,"TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS004","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS005","Streptomyces phaeochromogenes strain Md1-2","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS006","Phyllobacterium sp.","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS007","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS008","seq 19","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS009","See seq13","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS010","Nocardioides flavus","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS011","See Seq16","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS012","See Seq12","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS013","Bacillus subtilis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS014","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS015","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS016",NA,NA,NA,NA,NA,NA,"TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS017","Rhodococcus rhodochrous","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS018","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS019","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS020","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS021","Bacillus sp.","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS022","Bacillus simplex","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS023",NA,NA,NA,NA,NA,NA,"TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS024","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS025","Chryseobacterium wanjuense","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS026","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS027","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS028","Brevibacillus brevis","Firmicutes","Bacilli","Brevibacillales","Brevibacillaceae","Brevibacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS029","Bacillus sp.","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS030","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS031","Aminobacter aminovorans","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aminobacter","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS032","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS033",NA,NA,NA,NA,NA,NA,"TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS034","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS035","Bacillus subtilis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS036",NA,NA,NA,NA,NA,NA,"TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS037","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS038","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS039",NA,NA,NA,NA,NA,NA,"TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS040","Bacillus simplex","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS041","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS042","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS043","Pedobacter sp.","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS044","Pseudomonas sp.","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS045",NA,NA,NA,NA,NA,NA,"TSA",NA,"AS","Innovator","Rhizosphere soil"
"AS046",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS047","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS048","Streptomyces phaeochromogenes","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS049","Arthrobacter nicotinovorans","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS050","Advenella incenata","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS051","See seq15","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS051c",NA,NA,NA,NA,NA,NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS052","Arthrobacter nitroguajacolicus","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS053","Streptomyces pratensis strain WZS030","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS054","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS055",NA,NA,NA,NA,NA,NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS056","Phyllobacterium sp.","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium","ARE","Nys","AS","Innovator","Rhizosphere soil"
